,transgene,reporter,brain_region,spines,apical_intact,specimen_id,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,hero_first_last_adratio,hero_first_mean_adratio,hero_second_last_adratio,id,input_resistance_mohm,latency,max_rate_first_last_adratio,max_rate_first_mean_adratio,max_rate_long_square,max_rate_second_last_adratio,mouse_line,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheo_first_spike_hw,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
234,Chat,positive,VISpm2/3,aspiny,NA,553541110,,503.8,-52.1125018138,0.0234144548775,1.04102,6.11786,1.02537333333,-51.3437538147,-43.6041679382,-55.3437525431,False,False,False,,,,553558395,259.667584,0.00862,,,,,Chat-IRES-Cre-neo,1.03944,6.11596666667,1.02365333333,32.6562538147,23.2500012716,33.7500038147,,553547810,30,222.343817353,0.0606219023466,1.228529024,,,1.54001333333,,,-71.8020833333,14.5050398577,130.0,127.375,320.0,1.03902,6.11530666667,1.02327333333,-37.875,-32.6354204814,-45.5208358765,553547814,1.04124,6.11816666667,1.54001333333,-51.4687538147,-43.7812512716,-71.8020833333,3.0499440005,2.35003595126,3.20729811832,-95.96875,-71.31275177
845,Chat,positive,VISpm5,aspiny,NA,560889670,0.274982113046,41.93,-17.1224995987,0.0192418887112,1.23458,3.24909,1.02554,-44.3750038147,-43.984375,-53.5937519073,False,False,False,0.567375886525,0.725017886954,1.0,560895274,343.51312,0.02564,0.467179183915,0.667793744717,4.0,0.636901241869,Chat-IRES-Cre-neo,1.23252,3.2471,1.0235075,32.7500038147,32.53125,40.7890634537,0.00082,560890226,34,174.374997616,0.0474362894893,1.39458176,1.33142,33.91256,1.663965,-51.8750038147,-70.7343788147,-74.3789100647,11.7746910685,50.0,55.6875,360.0,1.23206,3.24661,1.0231275,-37.0312538147,-36.015625,-44.7500009537,560890230,1.33142,33.91256,1.663965,-51.8750038147,-70.7343788147,-74.3789100647,3.36277863982,3.17796042852,3.5367902517,-93.09375,-73.5498428345
570,Chrna2,positive,VISl5,spiny,intact,569653118,0.0643841749363,76.2833333333,26.1350004138,0.195246801797,1.10266,4.00524666667,1.02487333333,-48.71875,-49.8750012716,-51.5000038147,False,False,False,0.0900692840647,0.102250382347,0.137875288684,569658749,134.67648,0.03188,0.178240740741,0.178270216636,29.0,1.10821759259,Chrna2-Cre_OE25,1.10088,4.00354,1.0233,56.5000038147,56.1770858765,53.5312538147,0.0008,569654155,39,109.776884317,0.244704991579,1.512120704,,,1.34491333333,,,-67.4166692098,12.1499615827,110.0,74.5833333333,670.0,1.10046,4.00312,1.02291333333,-44.2187538147,-45.833337148,-47.8645833333,569654161,1.1028,4.00545333333,1.34491333333,-48.8437538147,-50.0937525431,-67.4166692098,4.23133516098,4.29953475742,3.93908255087,-78.59375,-66.085067749
184,Chrna2,positive,VISp4,spiny,intact,569730838,0.0699279651913,115.305,-37.8574983861,0.134640519927,1.21316,4.63536,1.02514666667,-48.65625,-44.9270846049,-51.161462148,False,False,False,0.466199756395,0.594396393676,0.627588306943,569746350,202.380544,0.06006,0.277932960894,0.346697085969,22.0,0.481494413408,Chrna2-Cre_OE25,1.2099,4.633,1.02341,41.3750038147,44.6666666667,41.135418574,0.00094,569735672,47,190.937533975,0.131219401956,2.28419072,1.25534,4.6739,1.66091333333,-58.8125038147,-55.708337148,-76.4531288147,23.7065810963,59.9999961853,90.2916641235,750.0,1.20942,4.63253333333,1.02302333333,-40.34375,-37.5312538147,-45.354168574,569735683,1.25534,4.6739,1.66091333333,-58.8125038147,-55.708337148,-76.4531300863,3.88147755441,3.99300178273,3.77511034655,-98.25,-76.5436096191
70,Chrna2,positive,VISp5,spiny,intact,562385794,,,15.3500007843,0.117708333333,1.06722,4.44686,1.02553,-47.5000038147,-47.5312538147,-50.664065361,False,False,False,,,,562387265,330.295936,0.04816,,,,,Chrna2-Cre_OE25,1.06366,4.44313,1.0236,35.4375038147,36.4375,37.4843759537,,562386573,33,313.437610865,0.0862779989839,1.784064512,1.07506,4.45374,1.10616,-50.15625,-51.5000038147,-61.6328144073,29.253254344,90.0,85.5625,390.0,1.06308,4.44247,1.02313,-33.28125,-31.0937509537,-42.2812519073,562386605,1.07506,4.45374,1.10616,-50.15625,-51.5000038147,-61.6328144073,2.91072681094,2.75144123477,2.77287766407,-95.3125076294,-60.2382621765
122,Chrna2,positive,VISp5,spiny,intact,556356342,0.0287648842883,49.6315789474,13.537500114,0.191333333333,1.09448,3.86281,1.025196,-48.96875,-44.8437519073,-50.9500007629,False,False,False,0.352561927384,0.41868504772,0.530369867662,557422489,272.130624,0.02754,0.280258203335,0.335856432864,32.0,0.492200107585,Chrna2-Cre_OE25,1.09168,3.86047,1.023436,35.875,36.9843769073,36.5437522888,0.00088,556359458,33,270.312130451,0.0580473504961,1.379321088,1.11242,3.89221,1.805636,-53.7187538147,-54.2187519073,-78.5000045776,26.3619109762,70.0,71.0,710.0,1.09118,3.8599,1.023,-40.5,-35.2656288147,-44.4125015259,556359464,1.11242,3.89221,1.805636,-53.7187538147,-54.2187519073,-78.5000045776,3.49841394266,2.99139360018,3.3282394175,-101.4375,-78.7274246216
262,Chrna2,positive,VISp5,spiny,intact,566517779,0.0720733276299,95.882,-3.54499979718,0.191304347826,1.11238,2.02249333333,1.024768,-47.5000038147,-49.2916692098,-50.9187522888,False,False,False,0.583333333333,0.736777259527,0.689085144928,566546434,278.638656,0.03456,0.394901796908,0.47299270073,25.0,0.589218554116,Chrna2-Cre_OE25,1.10992,2.02053333333,1.023252,39.2187538147,39.5208333333,37.3312522888,0.00074,566523991,55,197.656199336,0.0450279004872,1.296908288,1.12816,2.05300666667,1.072296,-53.9687538147,-57.1562525431,-60.8000022888,19.5013715902,70.0,24.9999993642,360.0,1.10944,2.02002,1.022852,-35.8437538147,-40.6666666667,-43.8437538147,566523999,1.12816,2.05300666667,1.072296,-53.9687538147,-57.1562525431,-60.8000030518,3.02055680542,2.92538093775,2.80526442764,-82.3750076294,-59.7773742676
390,Chrna2,positive,VISp5,spiny,intact,569469018,0.0528032087226,92.848,-12.6975001694,0.184774066798,1.16854,2.25046666667,1.02484666667,-46.8125,-46.5937512716,-48.8541679382,False,False,False,0.418504782354,0.494309488378,0.697052508296,569475156,504.248832,0.03838,0.322561863173,0.404892414179,18.0,0.545269286754,Chrna2-Cre_OE25,1.16562,2.24792666667,1.02316,43.6875038147,45.9687512716,44.1354192098,0.00082,569469850,42,402.764409781,0.154761508107,2.373089792,1.20982,2.29513333333,1.83182666667,-55.6875038147,-55.958337148,-74.6458384196,33.0468695413,50.0,30.7083326976,660.0,1.16512,2.24742,1.02274666667,-35.3125,-35.2812512716,-43.1041692098,569469869,1.20982,2.29513333333,1.83182666667,-55.6875038147,-55.958337148,-74.6458384196,3.43061702705,3.35407549738,3.38282987251,-104.968757629,-73.0341339111
478,Chrna2,positive,VISp5,spiny,intact,524850271,0.133396954436,101.475,20.4124998154,0.133116883117,1.11984,4.30658666667,1.02547,-45.53125,-41.6041692098,-50.4843759537,False,False,False,0.445739257101,0.60310421286,0.676474872542,525003344,227.981824,0.03402,0.238145416228,0.311181306443,18.0,0.373551106428,Chrna2-Cre_OE25,1.11716,4.30418,1.02361,33.5,32.90625,36.3515634537,0.0009,524860773,37,312.187582254,0.0285992901772,1.187510912,1.14244,4.33254666667,1.352735,-53.1562538147,-49.7916679382,-62.882815361,42.0455727007,50.0,82.0416666667,479.999969482,1.11658,4.30344666667,1.023115,-34.53125,-30.2291679382,-43.359375,524860755,1.14244,4.33254666667,1.352735,-53.1562538147,-49.7916679382,-62.882815361,2.4494800266,2.26663728378,2.74799510097,-94.5937576294,-61.9263076782
536,Chrna2,positive,VISp5,spiny,intact,569664731,0.0338573909717,77.5333333333,35.8024998537,0.191071428571,1.0919,3.04646,1.025284,-49.6875,-48.34375,-52.9562522888,False,False,False,0.543285472973,0.630258088939,0.695734797297,569679760,251.150864,0.02036,0.49172883555,0.546364214543,18.0,0.672397015894,Chrna2-Cre_OE25,1.08964,3.04421,1.02338,42.0625038147,43.2812519073,43.5937530518,0.00094,569671923,42,289.531320333,0.0597299821675,1.413084672,1.11642,3.07381,1.109208,-54.0312538147,-54.9218769073,-64.1250007629,33.5337710894,50.0,50.5625,340.0,1.08908,3.04361,1.0229,-36.6875,-34.9218769073,-44.1625030518,569671933,1.11642,3.07381,1.109208,-54.0312538147,-54.9218769073,-64.1250022888,2.74976324719,2.75413282364,2.94361717627,-94.5000076294,-62.7012290955
